"#name"|"525777_500000.csv"
"불괴-성"|"어휘"|"한자어"
"불괴옥루"|"어휘"|"한자어"
"불교"|"어휘"|"한자어"
"불교-가"|"어휘"|"한자어"
"불교-가"|"어휘"|"한자어"
"불교^가사"|"어휘"|"한자어"
"불교감"|"어휘"|"한자어"
"불교^경제학"|"어휘"|"한자어"
"불교-계"|"어휘"|"한자어"
"불교-관"|"어휘"|"한자어"
"불교-국"|"어휘"|"한자어"
"불교 국가"|"어휘"|"한자어"
"불교-권"|"어휘"|"한자어"
"불교-극"|"어휘"|"한자어"
"불교^대학"|"어휘"|"한자어"
"불교-도"|"어휘"|"한자어"
"불교^도량"|"어휘"|"한자어"
"불교^도상학"|"어휘"|"한자어"
"불교란^시료"|"어휘"|"한자어"
"불교-력"|"어휘"|"한자어"
"불교^무용"|"어휘"|"한자어"
"불교^문학"|"어휘"|"한자어"
"불교^문학"|"어휘"|"한자어"
"불교-문화"|"어휘"|"한자어"
"불교^문화권"|"어휘"|"한자어"
"불교^미술"|"어휘"|"한자어"
"불교^방송"|"어휘"|"한자어"
"불교부^단체"|"어휘"|"한자어"
"불교-사"|"어휘"|"한자어"
"불교^사상"|"어휘"|"한자어"
"불교-삼국"|"어휘"|"한자어"
"불교-식"|"어휘"|"한자어"
"불교^신자"|"어휘"|"한자어"
"불교-어"|"어휘"|"한자어"
"불교^예술"|"어휘"|"한자어"
"불교^용어"|"어휘"|"한자어"
"불교-용품"|"어휘"|"한자어"
"불교^음악"|"어휘"|"한자어"
"불교-인"|"어휘"|"한자어"
"불교^자수"|"어휘"|"한자어"
"불교-적"|"어휘"|"한자어"
"불교^철학"|"어휘"|"한자어"
"불교^청년단"|"어휘"|"한자어"
"불교-통"|"어휘"|"한자어"
"불교-학"|"어휘"|"한자어"
"불교학-계"|"어휘"|"한자어"
"불교학-과"|"어휘"|"한자어"
"불교학-도"|"어휘"|"한자어"
"불교학-부"|"어휘"|"한자어"
"불교학-자"|"어휘"|"한자어"
"불교^회화"|"어휘"|"한자어"
"불구"|"어휘"|"고유어"
"불구"|"어휘"|"고유어"
"불구"|"어휘"|"한자어"
"불구"|"어휘"|"한자어"
"불구"|"어휘"|"한자어"
"불구"|"어휘"|"한자어"
"불구"|"어휘"|"한자어"
"불-구경"|"어휘"|"고유어"
"불구경 가는 게사니걸음"|"관용구"
"불구경-꾼"|"어휘"|"고유어"
"불구경-꾼"|"어휘"|"고유어"
"불구경-하다"|"어휘"|"고유어"
"불구경-하다"|"어휘"|"고유어"
"불구공졸"|"어휘"|"한자어"
"불구^공포증"|"어휘"|"한자어"
"불구다"|"어휘"|"고유어"
"불구다"|"어휘"|"고유어"
"불구대천"|"어휘"|"한자어"
"불-구덩이"|"어휘"|"고유어"
"불-구덩이"|"어휘"|"고유어"
"불구뎅이"|"어휘"|"고유어"
"불구뎅이에 들어앉다"|"관용구"
"불구^동사"|"어휘"|"한자어"
"불-구디기"|"어휘"|"고유어"
"불구레-해다"|"어휘"|"고유어"
"불구룸-이"|"어휘"|"고유어"
"불구룸-하다"|"어휘"|"고유어"
"불구룽-하다"|"어휘"|"고유어"
"불구름"|"어휘"|"고유어"
"불구름"|"어휘"|"고유어"
"불구름"|"어휘"|"고유어"
"불구름을 몰아오다"|"관용구"
"불구리-하다"|"어휘"|"고유어"
"불-구먹"|"어휘"|"고유어"
"불-구멍"|"어휘"|"고유어"
"불-구멍"|"어휘"|"고유어"
"불-구멍"|"어휘"|"고유어"
"불-구멍"|"어휘"|"고유어"
"불-구멍"|"어휘"|"고유어"
"불구무레-하다"|"어휘"|"고유어"
"불구무리-하다"|"어휘"|"고유어"
"불구문달"|"어휘"|"한자어"
"불구문달-하다"|"어휘"|"혼종어"
"불구비-화"|"어휘"|"한자어"
"불구소절"|"어휘"|"한자어"
"불구소절-하다"|"어휘"|"혼종어"
"불-구속"|"어휘"|"한자어"
"불구속^기소"|"어휘"|"한자어"
"불구속-되다"|"어휘"|"혼종어"
"불구속-률"|"어휘"|"한자어"
"불구속^송치"|"어휘"|"한자어"
"불구속^수사"|"어휘"|"한자어"
"불구속^의견"|"어휘"|"한자어"
"불구속^입건"|"어휘"|"한자어"
"불구속^재판"|"어휘"|"한자어"
"불구속-하다"|"어휘"|"혼종어"
"불구수룸-이"|"어휘"|"고유어"
"불구수룸-하다"|"어휘"|"고유어"
"불구수리-하다"|"어휘"|"고유어"
"불구스르-하다"|"어휘"|"고유어"
"불-구슬"|"어휘"|"고유어"
"불구슬알"|"어휘"|"고유어"
"불구심해"|"어휘"|"한자어"
"불구심해-하다"|"어휘"|"혼종어"
"불구-아"|"어휘"|"한자어"
"불구-여년"|"어휘"|"한자어"
"불구-자"|"어휘"|"한자어"
"불구^자동사"|"어휘"|"한자어"
"불구지"|"어휘"|"고유어"
"불구쭉쭉-이"|"어휘"|"고유어"
"불구쭉쭉-하다"|"어휘"|"고유어"
"불구^타동사"|"어휘"|"한자어"
"불구-하다"|"어휘"|"혼종어"
"불구-하다"|"어휘"|"혼종어"
"불구^형태소"|"어휘"|"한자어"
"불구-화"|"어휘"|"한자어"
"불구화-되다"|"어휘"|"혼종어"
"불구화-하다"|"어휘"|"혼종어"
"불국"|"어휘"|"한자어"
"불국"|"어휘"|"한자어"
"불국-기"|"어휘"|"한자어"
"불-국데기"|"어휘"|"고유어"
"불국-사"|"어휘"|"한자어"
"불국사^금동^비로자나불^좌상"|"어휘"|"한자어"
"불국사^금동^아미타여래^좌상"|"어휘"|"한자어"
"불국사^다보탑"|"어휘"|"한자어"
"불국사^삼층^석탑"|"어휘"|"한자어"
"불국사^삼층^석탑^사리^장엄구"|"어휘"|"한자어"
"불국사^연화교^칠보교"|"어휘"|"한자어"
"불국사^청운교^백운교"|"어휘"|"한자어"
"불국^정토"|"어휘"|"한자어"
"불국토^사상"|"어휘"|"한자어"
"불군"|"어휘"|"한자어"
"불군-하다"|"어휘"|"혼종어"
"불굴"|"어휘"|"한자어"
"불굴무변하다"|"어휘"|"혼종어"
"불굴사^삼층^석탑"|"어휘"|"한자어"
"불굴-성"|"어휘"|"한자어"
"불굴-하다"|"어휘"|"혼종어"
"불굽수렁-하다"|"어휘"|"고유어"
"불궁-사"|"어휘"|"한자어"
"불권불식"|"어휘"|"한자어"
"불권불식-하다"|"어휘"|"혼종어"
"불권불해"|"어휘"|"한자어"
"불권불해-하다"|"어휘"|"혼종어"
"불궤"|"어휘"|"한자어"
"불궤"|"어휘"|"한자어"
"불-궤수웨"|"어휘"|"고유어"
"불궤지심"|"어휘"|"한자어"
"불궤지심"|"어휘"|"한자어"
"불궤-하다"|"어휘"|"혼종어"
"불궤-하다"|"어휘"|"혼종어"
"불-귀"|"어휘"|"고유어"
"불귀"|"어휘"|"한자어"
"불귀"|"어휘"|"한자어"
"불귀-객"|"어휘"|"한자어"
"불-귀신"|"어휘"|"혼종어"
"불귀지객"|"어휘"|"한자어"
"불귀-하다"|"어휘"|"혼종어"
"불규"|"어휘"|"한자어"
"불-규율"|"어휘"|"한자어"
"불-규칙"|"어휘"|"한자어"
"불규칙^고장"|"어휘"|"한자어"
"불규칙-골"|"어휘"|"한자어"
"불규칙^공중합"|"어휘"|"한자어"
"불규칙^공중합^반응"|"어휘"|"한자어"
"불규칙^공중합체"|"어휘"|"한자어"
"불규칙^기탁"|"어휘"|"한자어"
"불규칙^논리"|"어휘"|"한자어"
"불규칙^덩어리"|"어휘"|"혼종어"
"불규칙^도급"|"어휘"|"한자어"
"불규칙^동사"|"어휘"|"한자어"
"불규칙^바운드"|"어휘"|"혼종어"
"불규칙^반사"|"어휘"|"한자어"
"불규칙^반향"|"어휘"|"한자어"
"불규칙^방위"|"어휘"|"한자어"
"불규칙^배향"|"어휘"|"한자어"
"불규칙^변광성"|"어휘"|"한자어"
"불규칙^변동"|"어휘"|"한자어"
"불규칙^변동"|"어휘"|"한자어"
"불규칙^변수"|"어휘"|"한자어"
"불규칙^변형"|"어휘"|"한자어"
"불규칙변화"|"어휘"|"한자어"
"불규칙^분포"|"어휘"|"한자어"
"불규칙^빙설^하중"|"어휘"|"한자어"
"불규칙^뼈"|"어휘"|"혼종어"
"불규칙^상아질"|"어휘"|"한자어"
"불규칙-성"|"어휘"|"한자어"
"불규칙^성운"|"어휘"|"한자어"
"불규칙^소득"|"어휘"|"한자어"
"불규칙^수요"|"어휘"|"한자어"
"불규칙^신호"|"어휘"|"한자어"
"불규칙^액세스^프로그래밍"|"어휘"|"혼종어"
"불규칙^어간"|"어휘"|"한자어"
"불규칙^열"|"어휘"|"한자어"
"불규칙^왜곡"|"어휘"|"한자어"
"불규칙^외곽^지뢰군"|"어휘"|"한자어"
"불규칙^용언"|"어휘"|"한자어"
"불규칙^우성"|"어휘"|"한자어"
"불규칙^은하"|"어휘"|"한자어"
"불규칙^일그러짐"|"어휘"|"혼종어"
"불규칙^임치"|"어휘"|"한자어"
"불규칙^입사^흡음률"|"어휘"|"한자어"
"불규칙^작업"|"어휘"|"한자어"
"불규칙^잡음"|"어휘"|"한자어"
"불규칙^잡음^대역폭"|"어휘"|"한자어"
"불규칙-적"|"어휘"|"한자어"
"불규칙적^교체"|"어휘"|"한자어"
"불규칙적^이령^임분"|"어휘"|"한자어"
"불규칙^정원"|"어휘"|"한자어"
"불규칙^주사"|"어휘"|"한자어"
"불규칙-질"|"어휘"|"한자어"
"불규칙^처리"|"어휘"|"한자어"
"불규칙^코일"|"어휘"|"혼종어"
"불규칙^토층"|"어휘"|"한자어"
"불규칙-파"|"어휘"|"한자어"
"불규칙파^부하"|"어휘"|"한자어"
"불규칙^페이딩"|"어휘"|"혼종어"
"불규칙-하다"|"어휘"|"혼종어"
