aanleg|"<div class=""article""><div class=""k"">aanleg</div>aanleg<br/> * aangeboren handigheid of geschiktheid voor iets<br/>vb:Joop heeft aanleg voor wiskunde<br/>synoniemen: talent begaafdheid<br/>tegenstellingen: gebrek handicap mankement<br/> * het maken of bouwen van iets<br/>vb:wie betaalt de aanleg van die nieuwe weg?</div>"
aanleiding|"<div class=""article""><div class=""k"">aanleiding</div>aanleiding<br/> * wat tot gevolg heeft dat iets gebeurt<br/>vb:naar aanleiding van uw brief moet ik u het volgende vertellen.</div>"
aanmelden|"<div class=""article""><div class=""k"">aanmelden</div>aanmelden<br/> * zeggen dat je eraan mee wilt doen<br/>vb:ik meld me aan voor de wedstrijd<br/>synoniem: opgeven</div>"
aannemen|"<div class=""article""><div class=""k"">aannemen</div>aannemen<br/> * oppakken en luisteren<br/>vb:wie neemt de telefoon aan?<br/>synoniem: oppakken<br/>tegenstellingen: deponeren neerleggen<br/> * ergens naar luisteren om het door te geven<br/>vb:wij zullen de boodschap wel aannemen<br/> * denken dat het waar is<br/>vb:neem maar van mij aan dat hij liegt!<br/>synoniem: geloven<br/> * overnemen, ermee akkoord gaan<br/>vb:de directie heeft het voorstel aangenomen<br/>synoniemen: accepteren aanvaarden<br/> * als kind opnemen in het gezin<br/>vb:zij hebben een kind uit Chili aangenomen<br/>synoniem: adopteren<br/> * een baan geven<br/>vb:ze hebben die sollicitant aangenomen<br/>tegenstelling: ontslaan</div>"
aanpakken|"<div class=""article""><div class=""k"">aanpakken</div>aanpakken<br/> * in je handen nemen en vasthouden<br/>vb:hier, pak dat boek eens aan!<br/><br/> * iemand flink aanpakken<br/> [hem keihard zeggen welke kritiek je hebt]<br/><br/> * ergens aan beginnen<br/>vb:we zullen deze klus eens aanpakken<br/><br/> * hij weet van aanpakken!<br/> [hij is flink en ijverig]</div>"
aanpassen|"<div class=""article""><div class=""k"">aanpassen</div>aanpassen<br/> * iets aantrekken om te proberen<br/>vb:je moet deze rok even aanpassen om te zien of de maat goed is<br/> * je gedragen naar de omstandigheden<br/>vb:in een nieuwe situatie past zij zich gemakkelijk aan<br/>synoniem: conformeren<br/> * het ergens geschikt voor maken<br/>vb:dit gebouw is aangepast voor invaliden</div>"
aanraken|"<div class=""article""><div class=""k"">aanraken</div>aanraken<br/> * even vastpakken, tegen iets of iemand aankomen<br/>vb:ik kan het niet hebben dat hij me aanraakt<br/>synoniemen: aankomen raken<br/>tegenstelling: missen</div>"
aanranden|"<div class=""article""><div class=""k"">aanranden</div>aanranden<br/> * met geweld dwingen tot lichamelijk contact<br/>vb:een onbekende man heeft haar aangerand</div>"
aanrijding|"<div class=""article""><div class=""k"">aanrijding</div>aanrijding<br/> * een botsing tussen voertuigen<br/>vb:door de aanrijding zit de auto helemaal in elkaar</div>"
aansluiten|"<div class=""article""><div class=""k"">aansluiten</div>aansluiten<br/> * het ergens mee in contact brengen<br/>vb:de televisie is nog niet op de kabel aangesloten<br/>tegenstelling: afsluiten<br/> * ergens bij passen, ergens op volgen<br/>vb:deze les sluit goed aan bij de vorige<br/> * ergens bij gaan horen of er lid van worden<br/>vb:wij hebben ons bij de tennisclub aangesloten</div>"
aansmeren|"<div class=""article""><div class=""k"">aansmeren</div>aansmeren<br/> * hem iets verkopen wat hij niet nodig heeft<br/>vb:zijn broer heeft hem een computer aangesmeerd</div>"
aansnijden|"<div class=""article""><div class=""k"">aansnijden</div>aansnijden<br/> * het eerste stuk snijden<br/>vb:Jan heeft de taart aangesneden<br/> * ergens over beginnen te praten<br/>vb:het onderwerp 'vakantie' hebben we nog niet aangesneden</div>"
aansteken|"<div class=""article""><div class=""k"">aansteken</div>aansteken<br/> * het laten branden<br/>vb:we hebben een kaars aangestoken<br/>synoniem: ontsteken<br/>tegenstelling: uitmaken<br/> * een ziekte op iemand overbrengen<br/>vb:hij heeft mij met zijn verkoudheid aangestoken<br/>synoniem: besmetten</div>"
aantal|"<div class=""article""><div class=""k"">aantal</div>aantal<br/> * hoeveel het er zijn, een getal<br/>vb:Jan heeft een aantal films gehuurd</div>"
aantonen|"<div class=""article""><div class=""k"">aantonen</div>aantonen<br/> * laten zien dat het zo is<br/>vb:we hebben aangetoond dat Jan het gedaan heeft<br/>synoniem: bewijzen</div>"
aantrekken|"<div class=""article""><div class=""k"">aantrekken</div>aantrekken<br/> * een kledingstuk om je heen doen<br/>vb:wil je dat jasje even aantrekken?<br/>synoniem: aandoen<br/>tegenstellingen: uitdoen uittrekken<br/> * het strakker doen<br/>vb:hij trok de veters een beetje aan<br/> * het naar zich toe halen<br/>vb:de magneet trekt ijzer aan<br/> * interessant vinden<br/>vb:dat plan trekt me niet aan<br/> * je er druk over maken<br/>vb:hij trekt zich het ontslag erg aan<br/><br/> * nieuw personeel aantrekken<br/> [nieuwe medewerkers oproepen en aanstellen]</div>"
aanvaarden|"<div class=""article""><div class=""k"">aanvaarden</div>aanvaarden<br/> * overnemen, ermee akkoord gaan<br/>vb:wij aanvaarden het geschenk<br/>synoniemen: aannemen accepteren<br/> * goedvinden dat het zo is<br/>vb:de jongen aanvaardde de kritiek van zijn leraar</div>"
aanval|"<div class=""article""><div class=""k"">aanval</div>aanval<br/> * een poging om door woorden of geweld van iemand te winnen<br/>vb:hij deed een aanval op stellingen van de vijand<br/><br/> * aanval is de beste verdediging<br/> [je kunt beter zelf aanvallen dan afwachten]<br/><br/> * kortdurende heftige verschijnselen van een ziekte<br/>vb:hij kreeg een aanval van allergie</div>"
aanvallen|"<div class=""article""><div class=""k"">aanvallen</div>aanvallen<br/> * proberen door vechten van iemand te winnen<br/>vb:de soldaten moesten de vijand aanvallen<br/>tegenstelling: verdedigen</div>"
aanvangen|"<div class=""article""><div class=""k"">aanvangen</div>aanvangen<br/> * ergens mee starten<br/>vb:wanneer vangt de voorstelling aan?</div>"
aanvankelijk|"<div class=""article""><div class=""k"">aanvankelijk</div>aanvankelijk<br/> * in het begin<br/>vb:aanvankelijk vond hij het goed<br/>synoniem: eerst<br/>tegenstellingen: uiteindelijk tenslotte</div>"
aanvoerder|"<div class=""article""><div class=""k"">aanvoerder</div>aanvoerder<br/> * wie zegt wat er moet gebeuren in een ploeg<br/>vb:de aanvoerder riep dat Jan aan moest vallen<br/>synoniem: captain</div>"
aanvragen|"<div class=""article""><div class=""k"">aanvragen</div>aanvragen<br/> * er officieel om vragen bij een instelling<br/>vb:u moet een nieuw paspoort aanvragen</div>"
aanwezig|"<div class=""article""><div class=""k"">aanwezig</div>aanwezig<br/> * wie ergens is<br/>vb:alle leerlingen waren aanwezig vandaag<br/>synoniem: present<br/>tegenstellingen: weg absent</div>"
aanwijzen|"<div class=""article""><div class=""k"">aanwijzen</div>aanwijzen<br/> * je vinger op iets of iemand richten<br/>vb:Jan wijst op de kaart aan waar Utrecht ligt<br/><br/> * Jan is de aangewezen persoon daarvoor<br/> [Jan is daar het meest geschikt voor]</div>"
aanzien|"<div class=""article""><div class=""k"">aanzien</div>aanzien<br/> * hoe het eruitziet<br/>vb:deze straat heeft een ander aanzien gekregen<br/><br/> * ten aanzien van<br/> [over]<br/><br/>synoniem: uiterlijk</div>"
aanzien 2|"<div class=""article""><div class=""k"">aanzien 2</div>aanzien [2]<br/> * er rustig naar kijken en nog niets doen<br/>vb:we zullen het nog even aanzien voor we maatregelen nemen<br/> * bekijken<br/>vb:hij zag Tina voor iemand anders aan<br/><br/> * die stoel is niet om aan te zien!<br/> [hij ziet er verschrikkelijk uit]<br/> * het is haar aan te zien dat ze bijna vijftig is<br/> [je kunt het aan haar zien]</div>"
aanzienlijk|"<div class=""article""><div class=""k"">aanzienlijk</div>aanzienlijk<br/> * behoorlijk groot of veel<br/>vb:Jan heeft een aanzienlijk bedrag op zijn rekening<br/>synoniemen: aanmerkelijk belangrijk<br/>tegenstellingen: gering weinig</div>"
aap|"<div class=""article""><div class=""k"">aap</div>aap<br/> * zoogdier dat het meest op een mens lijkt<br/>vb:de aap at een banaan<br/><br/> * voor aap staan<br/> [voor gek staan]<br/> * daar komt de aap uit de mouw<br/> [nu blijkt wat er echt gebeurd is]<br/> * al draagt een aap een gouden ring, het is en blijft een lelijk ding<br/> [iemand die lelijk is, wordt niet mooier van sjieke kleren of sieraden]<br/> * dan ben je wel in de aap gelogeerd<br/> [in moeilijkheden geraakt]</div>"
aard|"<div class=""article""><div class=""k"">aard</div>aard<br/> * manier waarop iets of iemand in elkaar zit<br/>vb:Tina is opvliegend van aard<br/>synoniemen: karakter natuur persoonlijkheid</div>"
